RAISON SOCIALE;ADRESSE;ADRESSE Suite;CODE POSTAL;VILLE;Site Internet;Mail principal;;;;;;;;;;;;;;;;;;;
IRRIFRANCE INDUSTRIES;Route de Pézenas;;34230;PAULHAN;;http://www.irrifrance.com;;;;;;;;;;;;;;;;;;;
IRRIJARDIN;Route de Toulouse; ;31410;NOE;http://www.irrijardin.fr;irrijardin@irrijardin.fr;;;;;;;;;;;;;;;;;;;
ISAP France;31 Avenue de Larrieu;;31100;TOULOUSE;http://www.isap.fr;contact@isap.fr;;;;;;;;;;;;;;;;;;;
ISOCIEL;51 Rue Ampère ;Immeuble le Stratège B2 ;31670;LABEGE;http://www.isociel.fr;info@isociel.fr;;;;;;;;;;;;;;;;;;;
ISODOC France;879 Rue des Entrepreneurs;Lieu-dit Catalan ;31220;LAVELANET DE COMMINGES ;http://www.isodoc.fr;paul.marie@isodoc.fr;;;;;;;;;;;;;;;;;;;
ISP SYSTEM (GROUPE ISP);ZI de la Herray;;65500;VIC EN BIGORRE;http://www.isp-system.fr;contact@isp-system.fr;;;;;;;;;;;;;;;;;;;
ISS LOGISTIQUE & PRODUCTION;18 rue Jean Perrin; ;31100;TOULOUSE;;http://www.fr.issworld.com;;;;;;;;;;;;;;;;;;;
ITER;2 Rue d'Austerlitz; ;31000;TOULOUSE;http://www.iternet.org;iter@iternet.org;;;;;;;;;;;;;;;;;;;
ITK;45, Allée Yves Stourdzé;;34830;CLAPIERS;http://www.itk.fr;contact@itk.fr;;;;;;;;;;;;;;;;;;;
ITRUST;Bât. Actys/1;55 L'Occitane;31670;LABEGE;;http://www.itrust.fr;;;;;;;;;;;;;;;;;;;
IXEO;6 Rue Jean Monnet;ZI du Cassé II ;31240;ST JEAN;http://www.ixeo.fr;contact@ixeo.fr;;;;;;;;;;;;;;;;;;;
IXO PRIVATE EQUITY;34 Rue de Metz; ;31000;TOULOUSE;http://www.ixope.fr;contact@ixope.fr;;;;;;;;;;;;;;;;;;;
J-MEDIA;116 Route d'Espagne;Hélios 2 ;31100;TOULOUSE;http://www.j-media.fr;info@j-media.fr;;;;;;;;;;;;;;;;;;;
J. BOURGEOIS;Avenue du 10 août;Zone du Centre ;12300;DECAZEVILLE;;http://www.j-bourgeois.com;;;;;;;;;;;;;;;;;;;
J.P.S. LAIT;ZI Le Lachet; ;09210;LEZAT SUR LEZE;;http://www.biochamps.fr;;;;;;;;;;;;;;;;;;;
JANSON GROUPE;745 Voie de la Chapelle;ZI Bordebasse ;31800;ST GAUDENS;http://www.jansoncapsules.fr;"contact@jansoncapsules.fr ; achojnacki@jansoncapsules.com";;;;;;;;;;;;;;;;;;;
JANSON INDUSTRIE;745 Voie de la Chapelle;ZI Bordebasse ;31800;ST GAUDENS;;http://www.jansoncapsules.fr;;;;;;;;;;;;;;;;;;;
JANUS SECURITE FRANCE;38 Rue Gustave Eiffel;ZA Albitech ;81000;ALBI;http://www.janussecuritefrance.fr;janussecurite@orange.fr;;;;;;;;;;;;;;;;;;;
JARDEL SERVICES;12 Chemin de la Gravière; ;31150;LESPINASSE;;http://www.jardeltransport.com;;;;;;;;;;;;;;;;;;;
JARDINS DU MIDI;ZA de Sérignac; ;82500;BEAUMONT DE LOMAGNE;http://www.jardinsdumidi.com;contact@jardinsdumidi.com;;;;;;;;;;;;;;;;;;;
JARDINS ET SAVEURS;Chemin Saint Frai; ;65600;SEMEAC;http://www.jardinsetsaveurs.com;valerie.mouton@jardinsetsaveurs.com;;;;;;;;;;;;;;;;;;;
JCB AERO - AMAC AEROSPACE;Zone de l'Aéroport Auch-Lamothe;Rue Jacqueline Auriol ;32000;AUCH;http://www.jcbaero.com;info@jcbaero.com;;;;;;;;;;;;;;;;;;;
JDC MIDI-PYRENEES + HOLDING SAINT EX FINANCES ;Parc d'Activité du Cassé I;14 Parc du Casse;31240;ST JEAN;;http://www.jdcmidipyrenees.fr;;;;;;;;;;;;;;;;;;;
JDC OCCITANIE;Parc d'Activité du Cassé I;14 Parc du Casse;31240;SAINT-JEAN;www.jdcoccitanie.fr;contact@jdcoccitanie.fr;;;;;;;;;;;;;;;;;;;
JEAN ESPANOL;4 Rue Sarrazinières; ;31700;BLAGNAC;;http://www.jeanespanol.com;;;;;;;;;;;;;;;;;;;
JEAN LARNAUDIE; ZA L'Aiguille;CS 60012;46101;FIGEAC;;http://www.larnaudie.com;;;;;;;;;;;;;;;;;;;
JEAN LATOUR;4 Avenue des Crêtes; ;31520;RAMONVILLE SAINT-AGNE;;http://www.jean-latour.com;;;;;;;;;;;;;;;;;;;
JEAN LEFEBVRE MIDI-PYRENEES;ZI de Vic - 1 rue de la Production;BP 12142 ;31321;CASTANET TOLOSAN;;http://www.eurovia.com;;;;;;;;;;;;;;;;;;;
JEDO TECHNOLOGIES;260 Rue Chêne Vert;;31670;LABEGE;http://www.jedotechnologies.fr;contact@jedotechnologies.fr;;;;;;;;;;;;;;;;;;;
JIDELEC;13 Rue Hélios ;ZAC Balma Gramont;31240;L UNION;;http://www.jidelec.com;;;;;;;;;;;;;;;;;;;
JIMENEZ TRANSPORTS ET LOCATION;5 Avenue de Fontreal; ;31621;EUROCENTRE;http://www.jimenez-groupe.com;accueil@jimenez-groupe.com;;;;;;;;;;;;;;;;;;;
JPM;ZA de Merlin; ;12800;NAUCELLE;http://www.jpm-group.com;contact@jpm-group.com;;;;;;;;;;;;;;;;;;;
JUSTUMUS ;9 Rue Marc Chagall;ZI Engachies;32000;AUCH;http//www.groupe-climater.com;justumus@groupe-climater.com;;;;;;;;;;;;;;;;;;;
JVWEB;646 Rue Marius Petipa;;34080;MONTPELLIER;http://jvweb.com;site@jvweb.com;;;;;;;;;;;;;;;;;;;
KALIOP ;1401 Avenue du Mondial 98;;34000;MONTPELLIER ;http://www.kaliop.com;info@kaliop.com;;;;;;;;;;;;;;;;;;;
KALITEC GENIE CLIMATIQUE;31 Avenue Mercure; ;31130;QUINT FONSEGRIVES;http://www.kalitec.fr;kalitec@kalitec.fr;;;;;;;;;;;;;;;;;;;
KALLISTO;68 Chemin de la Flambère;;31300;TOULOUSE;http://www.kallisto.net;contact@kallisto.net;;;;;;;;;;;;;;;;;;;
KARDHAM ;38 Rue Alfred Dumeril;;31400;TOULOUSE;http://www.kardham.com;contact-architecture@kardham.com;;;;;;;;;;;;;;;;;;;
KARDHAM CARDETE HUET ARCHITECTURE;38 Rue Alfred Dumeril;;31400;TOULOUSE;;http://www.kardham.com;;;;;;;;;;;;;;;;;;;
KARIBAN;ZI Eurocentre;;31620;VILLENEUVE LES BOULOC;http://www.kariban.com;;;;;;;;;;;;;;;;;;;;
KARINE ET JEFF ;ZI de la Pomme;Allée Nicolas Appert;31250;REVEL;http://www.karinejeff.fr;contact@karinejeff.fr;;;;;;;;;;;;;;;;;;;
KASIOS;18 chemin de la violette; ;31240;L UNION;;http://www.kasios.com;;;;;;;;;;;;;;;;;;;
KAWNEER FRANCE - INITIAL;ZI de Lachet; ;09210;LEZAT SUR LEZE;;http://www.initial-fenetres.com;;;;;;;;;;;;;;;;;;;
KEOPS by NCT (BG Immobilier Sas);33 Avenue Crampel;;31400;TOULOUSE;http//www.keops-toulouse.fr;contact@keops-toulouse.fr;;;;;;;;;;;;;;;;;;;
KILOWATT BOIS;12 Voie Latérale;;09000;SAINT-PAUL DE JARRAT;http://www.pepites-pellets.fr;contact@pepites-pellets.fr;;;;;;;;;;;;;;;;;;;
KINÉIS;11 Rue Hermès;Parc technologique du canal;31520;RAMONVILLE SAINT-AGNE;http://kineis.com;info@kineis.com;;;;;;;;;;;;;;;;;;;
KIPRO AND CO;ZI Eurocentre;;31620;VILLENEUVE LES BOULOC;;http://www.kariban.com;;;;;;;;;;;;;;;;;;;
KLESIA;5 Esplanade Compans-Caffarelli;Boulevard Lascrosses ;31097;TOULOUSE;http://www.klesia.fr;;;;;;;;;;;;;;;;;;;;
KLEVA;44 Avenue des Arènes; ;31130;BALMA;http://www.kleva.fr;contact@kleva.fr;;;;;;;;;;;;;;;;;;;
KNAUF INSULATION LANNEMEZAN;501 Voie Napoléon;;65300;LANNEMEZAN;;http://www.knaufinsulation.com;;;;;;;;;;;;;;;;;;;
KOBO PRODUCTS;135 Rue Buissonnière;Quartier Bouysset ;31670;LABEGE;http://www.koboproducts.com;ldumesic@koboproductsinc.com;;;;;;;;;;;;;;;;;;;
KOESIO OCCITANIE;200 Rue des Tours;Quartier Bouysset ;31670;LABEGE;www.koesio.com;marketing.occitanie@koesio.com;;;;;;;;;;;;;;;;;;;
KOMAX LASELEC S.A;15 Rue de Boudeville; ;31100;TOULOUSE;http://www.laselec.com;info@laselec.com;;;;;;;;;;;;;;;;;;;
KONECT;26-28 Rue Marie Magné;;31300;TOULOUSE;http://www.konect.fr;contact@konect.fr;;;;;;;;;;;;;;;;;;;
KSM PRODUCTION;ZI - 1 rue des Sittelles;;66700;ARGELES-SUR-MER;;http://www.ksm-production.com;;;;;;;;;;;;;;;;;;;
L'ARSOIE;Route de Saint Roman;;30440;SUMENE;;"http://www.arsoie.fr ; www.cervin-store.com";;;;;;;;;;;;;;;;;;;
LA BALAGUERE;48 Route du Val d'Azun;;65400;ARRENS MARSOUS;http://www.labalaguere.com;labalaguere@labalaguere.com;;;;;;;;;;;;;;;;;;;
LA COMPAGNIE DES DESSERTS ;4 Rue des Romains ;;11200;LEZIGNAN-CORBIERES ;http://www.compagniedesdesserts.com;assistante@compagniedesdesserts.com;;;;;;;;;;;;;;;;;;;
LA CONSERVERIE FINE ELISABETH PATIGNAC ;53 Route de Toulouse; ;31310;MONTESQUIEU VOLVESTRE;;http://www.patignac.com;;;;;;;;;;;;;;;;;;;
LA COTE ET L'ARÊTE;143 Rue Pierre Gilles de Gennes;;31670;LABEGE;;http://www.lacoteetlarete.fr;;;;;;;;;;;;;;;;;;;
LA FABRIQUE DU SUD;75 Boulevard Edouard Branly;ZI La Bouriette;11000;CARCASSONNE;http://www.labelleaude.fr;adv.contact@labelleaude.fr;;;;;;;;;;;;;;;;;;;
LA FOIR'FOUILLE;155 Avenue Clément Ader;;34174;CASTELNAU LE LEZ;;http://www.lafoirfouille.com;;;;;;;;;;;;;;;;;;;
LA LITTORALE;Impasse Louis Lumière;1 PAE La Baume;34290;SERVIAN;;;;;;;;;;;;;;;;;;;;;
LA MAISON DE L'INITIATIVE;52 Rue Babinet; ;31100;TOULOUSE;;http://www.maison-initiative.org;;;;;;;;;;;;;;;;;;;
LA MECANIQUE;12 bis Chemin des Alouettes; ;31120;PORTET SUR GARONNE;;http://www.la-mecanique.fr;;;;;;;;;;;;;;;;;;;
LA MERIDIONALE DES BOIS ET MATERIAUX;43 Rue de l'Industrie ;;34500;BEZIERS;;;;;;;;;;;;;;;;;;;;;
LA NAUCELLOISE;ZA de Merlin;;12800;NAUCELLE;http://www.lanaucelloise.fr;contact@lanaucelloise.fr;;;;;;;;;;;;;;;;;;;
LA PATELIERE; ZI Route de Nérac;BP 30087 ;32100;CONDOM;;http://www.lapateliere.com;;;;;;;;;;;;;;;;;;;
LA PERGOLA SARL VINTO;262 Avenue de Lardenne; ;31100;TOULOUSE;http://www.lacompagniedespergos.fr;contact@lacompagniedespergos.fr;;;;;;;;;;;;;;;;;;;
LA POSTE - BRANCHE SERVICES - COURRIER - COLIS (DIRECTION MIDI-PYRENEES SUD);169 Avenue des Minimes;BP 92169 ;31086;TOULOUSE   ;;http://www.laposte.fr;;;;;;;;;;;;;;;;;;;
LA POSTE - DIRECTION REGIONALE RESEAU ET BANQUE TOULOUSE-ARIEGE PYRENEES;169 Avenue des minimes - BP 82145; ;31019;TOULOUSE   ;;http://www.laposte.fr;;;;;;;;;;;;;;;;;;;
LA POSTE GROUPE DELEGATION REGIONALE OCCITANIE;5 Rue Camichel;BP 50215 ;31002;TOULOUSE   ;;http://www.laposte.fr;;;;;;;;;;;;;;;;;;;
LA PYRENEENNE;595 Avenue de l'Industrie ;;66000;PERPIGNAN;;http://www.lapyreneenne.a3w.fr/;;;;;;;;;;;;;;;;;;;
LA QUERCYNOISE;Route de Figeac; ;46500;GRAMAT;http://www.laquercynoise.com;infos@laquercynoise.com;;;;;;;;;;;;;;;;;;;
LA SOLUTION;Rond-Point de Flotis;Bâtiment 1;31240;SAINT-JEAN;http://www.agence-solution.fr;accueil@agence-solution.fr;;;;;;;;;;;;;;;;;;;
LA TABLE DES GRANDS CAUSSES;ZI de Vergonhac; ;12100;ST GEORGES DE LUZENCON;;;;;;;;;;;;;;;;;;;;;
LA TARNAISE DES PANNEAUX;10 Boulevard Pasteur;;81290;LABRUGUIERE;http://www.tarnaisepanneaux.fr;elisabeth.mouly@tarnaisepanneaux.fr;;;;;;;;;;;;;;;;;;;
LABARTHE (GROUPE CRM MECA);84 Rue de l'Etain;Parc d'activités de Bel Air ;12850;ONET LE CHATEAU;;http://www.labarthe-industrie.com;;;;;;;;;;;;;;;;;;;
LABATUT GROUP;Le Village; ;31430;ST ELIX LE CHATEAU;http://www.labatutgroup.com;contact@labatutgroup.com;;;;;;;;;;;;;;;;;;;
LABSOFT - Groupe EKLAS;425 Rue Jean Rostand;;31670;LABEGE;http//www.labsoft.fr;contact@labsoft.fr;;;;;;;;;;;;;;;;;;;
LACAZE ENERGIES S.A.S;ZI - BP 2 ;;46120;LEYME;http://www.lacaze-energies.fr;info.lacaze-energies@groupe-cahors.com;;;;;;;;;;;;;;;;;;;
LACROIX;6 Impasse Edmond Audran; ;31200;TOULOUSE;http://lacroix-portes-automatiques.com;contact@lacroixgroupe.com;;;;;;;;;;;;;;;;;;;
LAFARGE CIMENT USINE MARTRES TOLOSANE;77 avenue des Pyrénées; ;31220;MARTRES TOLOSANE;http://www.lafarge.com;agnes.caussade@lafarge.com;;;;;;;;;;;;;;;;;;;
LAFARGE CIMENTS USINE DE MARTRES;77 avenue des Pyrénées; ;31220;MARTRES TOLOSANE;;http://www.lafarge.com;;;;;;;;;;;;;;;;;;;
LAFAYETTE CONSEIL;4 Rue Brindejonc des Moulinais;Zac de la Plaine ;31500;TOULOUSE;;http://www.pharmacielafayette.com;;;;;;;;;;;;;;;;;;;
LAGARRIGUE BTP ET PREFA;Place de la République; ;12300;FIRMI;;http://www.lagarriguebtp.fr;;;;;;;;;;;;;;;;;;;
LAHERA PRODUCTIONS;N112 - La Roubinarie; ;81200;MAZAMET;http://www.terreal.com;contact@lahera.fr;;;;;;;;;;;;;;;;;;;
LAHILLE;10 Rue Jean Monnet;ZAC du Cassé II ;31240;ST JEAN;http://www.lahille.com;contact@lahille.com;;;;;;;;;;;;;;;;;;;
LANGUEDOC TRAVAUX PUBLIC GENIE CIVIL;2 Rue de Chiminie;;34300;AGDE;;http://www.solatrag.fr;;;;;;;;;;;;;;;;;;;
LANOGRAPH;4 Route de Tarbes;BP 48 ;65301;LANNEMEZAN;http://www.lanograph.com;studio@lanograph.com;;;;;;;;;;;;;;;;;;;
LASELEC;15 rue de Boudeville; ;31100;TOULOUSE;;http://www.laselec.com;;;;;;;;;;;;;;;;;;;
LATECOERE ;135 Rue de Périole;BP 25211 ;31079;TOULOUSE;http://www.latecoere.aero;https://www.latecoere.aero/contact/;;;;;;;;;;;;;;;;;;;
LATECOERE GROUPE;135 rue de Périole;BP 25211 ;31079;TOULOUSE   ;;http://www.latecoere-group.com;;;;;;;;;;;;;;;;;;;
LATECOERE INTERCONNECTION SYSTEMS ;135 Rue de Périole;;31500;TOULOUSE;http://www.latecoere.aero;comercial.LIS@latecoere.aero;;;;;;;;;;;;;;;;;;;
LATECOERE Services Groupe;1 Avenue Pierre-Georges Latécoère; ;31570;STE FOY D AIGREFEUILLE;;http://www.latecoere-services.com;;;;;;;;;;;;;;;;;;;
LATelec;762 Rue Max Planck;CS 57632 ;31676;LABEGE;;http://www.latelec.com;;;;;;;;;;;;;;;;;;;
LATESYS;1 Avenue Pierre-Georges Latécoère; ;31570;STE FOY D AIGREFEUILLE;http://www.latesys.com;contact@groupeadf.com;;;;;;;;;;;;;;;;;;;
LAUDE;102 Route de Paris; ;31150;FENOUILLET;http://www.laude.fr;mail@laude.fr;;;;;;;;;;;;;;;;;;;
LAUSSEL ET FAU;59 Avenue Tabardel; ;12740;SEBAZAC CONCOURES;;http://www.lauseletfau;;;;;;;;;;;;;;;;;;;
LDL TECHNOLOGY;Parc Technologique du Canal;3 Rue Giotto ;31520;RAMONVILLE SAINT-AGNE;;http://www.ldl-technology.com;;;;;;;;;;;;;;;;;;;
LE CALVEZ SURGELES;4 impasse Daguerre;ZI Alba Sud Secteur 2;82000;MONTAUBAN;;http://www.lecalvez.com;;;;;;;;;;;;;;;;;;;
LE GROUPE LA POSTE OCCITANIE;5 Rue Camichel;BP 50215 ;31002;TOULOUSE;http://www.laposte.fr;;;;;;;;;;;;;;;;;;;;
LE JARDIN D'ELEN;BP 15005; ;31032;TOULOUSE   ;;http://www.lamaisondelaviolette.com;;;;;;;;;;;;;;;;;;;
LE JARDIN D'ELEN / LA MAISON DE LA VIOLETTE;BP 15005;;31032;TOULOUSE;http://www.lamaisondelaviolette.com;violette@lamaisondelaviolette.com;;;;;;;;;;;;;;;;;;;
LE MOULIN DU PIVERT;2 Chemin de Souloumiac;;12270;LA FOUILLADE;www.lemoulindupivert.com;info@lemoulindupivert.com;;;;;;;;;;;;;;;;;;;
LE PETIT MITRON;434, avenue de fronton;;31200;TOULOUSE;;;;;;;;;;;;;;;;;;;;;
LE PORC NOIR DE BIGORRE (SICA);Pyrène aéropole ;Route de Lourdes ;65290;LOUEY;"http://www.porcnoir.fr / ; http://www.noirdebigorre.fr ";contact@porcnoir.fr;;;;;;;;;;;;;;;;;;;
LE REGIME DE VÉRO;1340 Rue de Pinville;;34000;MONTPELLIER;https://labrigadedevero.com;contact@labrigadedevero.com;;;;;;;;;;;;;;;;;;;
LEROY AUTOMATION;250 Rue Max Planck;;31670;LABEGE;http://www.leroy-automation.com;info@leroy-autom.com;;;;;;;;;;;;;;;;;;;
LES CHALETS (GROUPE);29 Boulevard Gabriel Koenings;;31027;TOULOUSE;"http://www.groupedeschalets.com ; leschaletsaccession.com";;;;;;;;;;;;;;;;;;;;
LES COMPAGNONS DU DEVOIR OCCITANIE;5 Rue Hyacinthe Dubreuil;;31770;COLOMIERS;;http://www.compagnons-du-devoir.com;;;;;;;;;;;;;;;;;;;
LES COMPTOIRS DE LA BIO;18 Impasse de la Colombière;;82710;BRESSOLS;https://lescomptoirsdelabio.fr;contact@lescomptoirsdelabio.fr;;;;;;;;;;;;;;;;;;;
LES COUVREURS OCCITANS;15 Rue Boudeville;;31100;TOULOUSE;htpp://www.couvreurs-occitans.fr;admin@couvreurs-occitans.fr ;;;;;;;;;;;;;;;;;;;
LES JARDINS DU MIDI;ZA de Sérignac; ;82500;BEAUMONT DE LOMAGNE;;http://www.jardinsdumidi.com;;;;;;;;;;;;;;;;;;;
LES MENUISERIES ARIEGEOISES;Route de Labat; ;09000;ST PAUL DE JARRAT;;ma@masapi.fr;;;;;;;;;;;;;;;;;;;
LES MOULINS CALVET CAMARES CAYLA;BP 3; ;12390;RIGNAC;;;;;;;;;;;;;;;;;;;;;
LES POISSONNERIES DE LA COTE CATALANE;"Anse Gerbal ""la Criée""";;66660;PORT-VENDRES;http://www.cotecatalane.com;contact@cotecatalane.com;;;;;;;;;;;;;;;;;;;
LES POTERIES D'ALBI;112 Avenue Albert Thomas; ;81000;ALBI;http://www.lespoteriesdalbi.fr;lespoteriesdalbi@lespoteriesdalbi.fr;;;;;;;;;;;;;;;;;;;
LES SENIORIALES;2 Place Auguste Albert; ;31500;TOULOUSE;;http://www.senioriales.com;;;;;;;;;;;;;;;;;;;
LEYFA MEASUREMENT;9 Rue Gustave Eiffel;;31140;AUCAMVILLE;;http://www.leyfa-measurement.fr;;;;;;;;;;;;;;;;;;;
LGM / LGM INGENIERIE;1 Rue Emmanuelle;Arin-Euclide B4;31300;SAINT-MARTIN-DU-TOUCH;http://www.lgm.fr;;;;;;;;;;;;;;;;;;;;
LHERM TP MIDI PYRENEES;31 Chemin Dubac;BP 10060 ;31270;CUGNAUX;http://lherm-tp.fr;contact@lherm-tp.fr;;;;;;;;;;;;;;;;;;;
LIEBHERR-AEROSPACE & TRANSPORTATION;408 Avenue des Etats-Unis;BP 52010 ;31016;TOULOUSE;http://www.liebherr.com;;;;;;;;;;;;;;;;;;;;
LIEBHERR-AEROSPACE TOULOUSE;408 avenue des Etats-Unis;BP 52010 ;31016;TOULOUSE   ;;http://www.liebherr.com;;;;;;;;;;;;;;;;;;;
LIEBHERR-AEROSPACE TOULOUSE SAS;408 Avenue des Etats-Unis;BP 52010 ;31016;TOULOUSE;https://www.liebherr.com;info.lts@liebherr.com;;;;;;;;;;;;;;;;;;;
LIEU RESSOURCE FORMATION;52 Rue Jacques Babinet;;31100;TOULOUSE;http://www.lrf.asso.fr;contact@lrf.asso.fr;;;;;;;;;;;;;;;;;;;
LIGN'EXPO;10 Chemin de Fondeyre; ;31200;TOULOUSE;;http://www.lignexpo.com;;;;;;;;;;;;;;;;;;;
LIMONGI DEVELOPPEMENT;Rue Charles Portal;ZI Bouriette;11000;CARCASSONNE;;http://www.limongi-materiel-agricole.fr;;;;;;;;;;;;;;;;;;;
LINK CONSULTING;44 Rue Bayard;;31000;TOULOUSE;http//link-consulting.fr;link@link-consulting.fr;;;;;;;;;;;;;;;;;;;
LIVING OBJECTS;1 Impasse Chalard - Bât 2;Parc d'activité Basso Cambo ;31100;TOULOUSE;http://www.livingobjects.com;contact@livingobjects.com;;;;;;;;;;;;;;;;;;;
LMS GROUPE;2 Rue Giotto;Parc  Technologique du Canal ;31520;RAMONVILLE SAINT-AGNE;;http://www.groupelms.fr;;;;;;;;;;;;;;;;;;;
LMS SOLUTIONS ;7 bis avenue de l'Europe;;31520;RAMONVILLE SAINT-AGNE;http://www.groupelms.fr;contactlmsmp@groupelms.fr;;;;;;;;;;;;;;;;;;;
LOCACONCEPT (marque LOCACUISINES);3 Chemin de Bordeneuve;;31150;LESPINASSE;https://www.locacuisines.fr;contact@locacuisines.fr;;;;;;;;;;;;;;;;;;;
LOGILAB;1 Avenue de l'Europe;Campus 1 - Bâtiment B ;31400;TOULOUSE;;http://www.logilab.fr;;;;;;;;;;;;;;;;;;;
LOGITRADE;52 Rue Guynemer;Parc d'Activités Jean Mermoz;34170;CASTELNAU LE LEZ;;http://www.logitrade.fr;;;;;;;;;;;;;;;;;;;
LOISIRS EDUCATION & CITOYENNETE GRAND SUD;7 rue Paul Mesplé; ;31100;TOULOUSE;;http://www.lecgs.org;;;;;;;;;;;;;;;;;;;
LOMACO;21 Avenue Jean Jaurès ;;46100;FIGEAC;http::/www.lomaco.fr;marketing@lomaco.fr;;;;;;;;;;;;;;;;;;;
LONGAGES MENUISERIE;20 Rue des Vieilles Vignes;ZAC de Serres ;31410;NOE;http://www.longages-menuiserie.fr;secretariat@longages-menuiserie.com;;;;;;;;;;;;;;;;;;;
LOTOQUINE;ZA Quercypole; ;46100;CAMBES;;http://www.lotoquine.com;;;;;;;;;;;;;;;;;;;
LOUBIERE CHARPENTE;Route de Pareloup; ;12290;TREMOUILLES;http://www.loubiere-charpente.fr;sl.loubiere@orange.fr;;;;;;;;;;;;;;;;;;;
LOUGARRE;5 Chemin Vieux;RN 117;31800;LABARTHE-INARD;http://www.entreprise-lougarre.fr;menuiserie@lougarre.com;;;;;;;;;;;;;;;;;;;
LOUIS BARRERE  ET CIE;86 RD 820; ;31790;ST JORY;http://www.louisbarrere.com;barrere@louisbarrere.com;;;;;;;;;;;;;;;;;;;
LOXAM/LAHO EQUIPEMENT;58 Boulevard Pierre Curie; ;31200;TOULOUSE;;http://www.loxam.fr;;;;;;;;;;;;;;;;;;;
LP PROMOTION;25 Rue de Bayard; ;31000;TOULOUSE;;http://www.lp-promotion.com;;;;;;;;;;;;;;;;;;;
LP PROMOTION (Groupe);25 Rue de Bayard;CS 71348;31069;TOULOUSE ;http://www.lp-promotion.com;géraldine.colliot@lppromotion.com;;;;;;;;;;;;;;;;;;;
LPF AUTERIVE;14 ZI Lavigne;;31190;AUTERIVE;;http://www.groupe-lpf.com;;;;;;;;;;;;;;;;;;;
LPF GROUPE;2 ter Avenue Marcel Doret;Immeuble Burolines;31700;BLAGNAC;http://www.groupe-lpf.com;contact@groupe-lpf.com;;;;;;;;;;;;;;;;;;;
LPF LUNEL;601 Rue de la Camargue;;34400;LUNEL;;http://www.groupe-lpf.com;;;;;;;;;;;;;;;;;;;
LPR  (LA PALETTE ROUGE);8 Rue de Vidailhan;BP 30083;31132;BALMA;http://www.lpr.eu;info.fr@lpr.eu;;;;;;;;;;;;;;;;;;;
LPR GROUPE (LA PALETTE ROUGE);8 rue de Vidailhan;BP 30083;31132;BALMA;;http://www.lpr.eu;;;;;;;;;;;;;;;;;;;
LR VISION;13 Rue du Développement;ZI de Vic ;31320;CASTANET TOLOSAN;;http://www.lrvision.fr;;;;;;;;;;;;;;;;;;;
LR VISION ;13 rue du développement ;;31320;CASTANET TOLOSAN;https//www.resineo.com  ;contact@resineo.com;;;;;;;;;;;;;;;;;;;
LUDILABEL ;26 Rue de la Colombette ;;31000;TOULOUSE ;;http://www.ludilabel.fr ;;;;;;;;;;;;;;;;;;;
LUDILABEL (SJR LABELS);26 Rue de la Colombette ;;31000;TOULOUSE ;http://www.ludilabel.com;contact@ludilabel.com;;;;;;;;;;;;;;;;;;;
LUZENT FRERES;31 Rue Rémy Comet; ;31110;BAGNERES DE LUCHON;constructeurs-maison-luchon.fr;luzent.sa@orange.fr;;;;;;;;;;;;;;;;;;;
LYRA NETWORK;109 Rue de l'Innovation; ;31670;LABEGE;http://www.lyra.com;contact@lyra.com;;;;;;;;;;;;;;;;;;;
M CAPITAL PARTNERS;42, rue du Languedoc ;CS 96804;31068;TOULOUSE   ;;http://www.mcapitalpartners.fr;;;;;;;;;;;;;;;;;;;
M PLUS MATERIAUX;54 Cami la Gran Selva;;66530;CLAIRA;www.mplus-materiaux.fr;contact@mplus-materiaux.com;;;;;;;;;;;;;;;;;;;
M.P.I.;1900 Route de Réalmont;BP 124 ;81303;GRAULHET;http://www.mpi.fr;contact@mpi.fr;;;;;;;;;;;;;;;;;;;
M3 CONSTRUCTION ;106 Avenue Tolosane;Immeuble Plein Sud ;31520;RAMONVILLE SAINT-AGNE;;;;;;;;;;;;;;;;;;;;;
M3 CONSTRUCTION (GROUPE);106 Avenue Tolosane;Immeuble Plein Sud ;31520;RAMONVILLE SAINT-AGNE;http://www.m3-construction.fr;contact@m3-construction.fr;;;;;;;;;;;;;;;;;;;
M3 SYSTEMS;26 Rue du Soleil Levant; ;31410;LAVERNOSE LACASSE;http://www.m3systems.eu;gestion@m3systems.eu;;;;;;;;;;;;;;;;;;;
M3/MOSAILUX (GROUPE CRESPY);2 Avenue de la Gare; ;31250;REVEL;;http://www.crespy.fr;;;;;;;;;;;;;;;;;;;
MA PETITE MERCERIE;318 Avenue Gustave Eiffel;ZIR Mas de Rest;81600;GAILLAC;http://www.mapetitemercerie.com;christel@mapetitemercerie.com;;;;;;;;;;;;;;;;;;;
MA SILVA France;29 Avenue Gustave Eiffel;;11100;NARBONNE;;http://www.masilva.pt;;;;;;;;;;;;;;;;;;;
MACOCCO MIDI;14 Chemin de la Chasse;BP 10036 ;31771;COLOMIERS;;http://www.macocco.com;;;;;;;;;;;;;;;;;;;
MAF AGROBOTIC;Impasse d'Athènes - ZAC Albasud II;CS 60112 ;82001;MONTAUBAN;http://www.maf-roda.com;maf@maf-france.com;;;;;;;;;;;;;;;;;;;
MAGELLIUM;24 rue Hermès;BP 12113 ;31521;RAMONVILLE SAINT-AGNE;;http://www.magellium.fr;;;;;;;;;;;;;;;;;;;
